OBJECTID,ROADPREMOD,ROADPREDIR,ROADNAME,ROADTYPE,ROADPOSTDIR,ROADPOSTMOD,FULLNAME,ALTROADNAME,MSAGNAME,MUNICIPALITY,STATUS,LASTUPDATE,LASTEDITOR,ROADPRETYPE,FULLNAMECASS,CapCASSStName,JoinID
872453,,,Acacia,St,,,Acacia Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Acacia St,ACACIA ST,41
872454,,,Academy,Dr,,,Academy Drive,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Academy Dr,ACADEMY DR,42
872455,,,Acadiana,Pl,,,Acadiana Place,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Acadiana Pl,ACADIANA PL,43
872456,,,Across,St,,,Across Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Across St,ACROSS ST,44
872457,,,Ada,Pl,,,Ada Place,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Ada Pl,ADA PL,45
872458,,,Adam,St,,,Adam Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Adam St,ADAM ST,46
872459,,,Adams,St,,,Adams Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Adams St,ADAMS ST,47
872460,,E,Adams,Ct,,,East Adams Court,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,E Adams Ct,E ADAMS CT,48
872461,,N,Adams,Ct,,,North Adams Court,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,N Adams Ct,N ADAMS CT,49
872462,,W,Adams,Ct,,,West Adams Court,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,W Adams Ct,W ADAMS CT,50
872463,,,Adele,St,,,Adele Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Adele St,ADELE ST,51
872464,,,Admiralty,Ct,,,Admiralty Court,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Admiralty Ct,ADMIRALTY CT,52
